┌─────────────────────────┬─────────────────────────┬─────────────────────────┬──────────────────────────┬─────────────────────────┐
│Time                     │JobId                    │Node List                │ CPU                      │ Partition               │
│2022-06-02T01:30:12.278  │42897                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-02T09:23:40.188  │42906                    │cpu07                    │ 64                       │ cpu-opteron             │
│2022-06-02T12:53:02.312  │42914                    │cpu10                    │ 4                        │ cpu-opteron             │
│2022-06-02T13:52:40.920  │42915                    │cpu10                    │ 4                        │ cpu-opteron             │
│2022-06-02T14:21:24.000  │42916                    │cpu10                    │ 16                       │ cpu-opteron             │
│2022-06-02T14:49:34.247  │42920                    │cpu07                    │ 64                       │ cpu-opteron             │
│2022-06-02T14:54:32.979  │42921                    │cpu07                    │ 64                       │ cpu-opteron             │
│2022-06-02T15:05:21.205  │42922                    │cpu07                    │ 64                       │ cpu-opteron             │
│2022-06-02T15:50:11.616  │42924                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-02T15:53:38.981  │42925                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-02T16:44:16.504  │42927                    │cpu03                    │ 64                       │ cpu-opteron             │
│2022-06-02T16:58:13.232  │42928                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-02T17:02:32.832  │42929                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-02T17:07:29.390  │42930                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-02T17:10:17.632  │42931                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-03T00:47:49.563  │42944                    │cpu10                    │ 1                        │ cpu-opteron             │
│2022-06-03T00:49:19.675  │42945                    │cpu10                    │ 1                        │ cpu-opteron             │
│2022-06-03T00:51:02.821  │42946                    │cpu10                    │ 1                        │ cpu-opteron             │
│2022-06-03T13:42:36.939  │42960                    │cpu07                    │ 64                       │ cpu-opteron             │
│2022-06-03T15:02:22.819  │42961                    │cpu10                    │ 16                       │ cpu-opteron             │
│2022-06-03T15:50:18.012  │42974                    │cpu10                    │ 16                       │ cpu-opteron             │
│2022-06-03T17:02:54.075  │42975                    │cpu10                    │ 8                        │ cpu-opteron             │
│2022-06-03T17:26:20.570  │42976                    │cpu10                    │ 32                       │ cpu-opteron             │
│2022-06-03T20:51:14.038  │42977                    │cpu10                    │ 32                       │ cpu-opteron             │
│2022-06-03T21:05:32.585  │42978                    │cpu11                    │ 32                       │ cpu-opteron             │
│2022-06-04T02:40:45.094  │42979                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-04T05:12:52.031  │42980                    │cpu10                    │ 32                       │ cpu-opteron             │
│2022-06-04T05:14:10.127  │42981                    │cpu11                    │ 32                       │ cpu-opteron             │
│2022-06-04T05:17:23.505  │42982                    │cpu11                    │ 32                       │ cpu-opteron             │
│2022-06-04T05:20:33.781  │42983                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-04T14:39:26.571  │43001                    │cpu11                    │ 4                        │ cpu-opteron             │
│2022-06-04T14:41:59.774  │43003                    │cpu11                    │ 4                        │ cpu-opteron             │
│2022-06-04T16:15:54.001  │43005                    │cpu11                    │ 8                        │ cpu-opteron             │
│2022-06-05T00:52:49.725  │43017                    │cpu11                    │ 1                        │ cpu-opteron             │
│2022-06-05T01:21:30.389  │43019                    │cpu11                    │ 16                       │ cpu-opteron             │
│2022-06-05T08:48:42.899  │43020                    │cpu11                    │ 1                        │ cpu-opteron             │
│2022-06-05T08:54:06.570  │43021                    │cpu11                    │ 1                        │ cpu-opteron             │
│2022-06-05T12:53:28.379  │43022                    │cpu11                    │ 5                        │ cpu-opteron             │
│2022-06-05T12:58:20.871  │43023                    │cpu11                    │ 12                       │ cpu-opteron             │
│2022-06-06T10:06:44.775  │43065                    │cpu11                    │ 1                        │ cpu-opteron             │
│2022-06-06T10:07:54.012  │43066                    │cpu11                    │ 1                        │ cpu-opteron             │
│2022-06-06T10:08:50.097  │43067                    │cpu11                    │ 1                        │ cpu-opteron             │
│2022-06-06T10:11:57.372  │43068                    │cpu11                    │ 1                        │ cpu-opteron             │
│2022-06-06T10:13:37.822  │43069                    │cpu11                    │ 4                        │ cpu-opteron             │
│2022-06-06T10:14:35.903  │43070                    │cpu11                    │ 4                        │ cpu-opteron             │
│2022-06-06T10:32:20.324  │43071                    │cpu11                    │ 8                        │ cpu-opteron             │
│2022-06-06T10:46:46.851  │43074                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-06T10:54:44.724  │43075                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-06T10:55:15.768  │43076                    │cpu03                    │ 32                       │ cpu-opteron             │
│2022-06-06T10:56:54.915  │43077                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-06T10:57:48.100  │43078                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-06T14:41:56.020  │43085                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-06T15:02:40.406  │43089                    │cpu03                    │ 64                       │ cpu-opteron             │
│2022-06-06T15:23:09.733  │43090                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-06T15:25:14.898  │43092                    │cpu05                    │ 32                       │ cpu-opteron             │
│2022-06-06T15:27:33.189  │43094                    │cpu07                    │ 32                       │ cpu-opteron             │
│2022-06-06T15:29:40.377  │43096                    │cpu08                    │ 32                       │ cpu-opteron             │
│2022-06-06T16:03:51.332  │43100                    │cpu11                    │ 4                        │ cpu-opteron             │
│2022-06-06T16:04:27.381  │43101                    │cpu11                    │ 4                        │ cpu-opteron             │
│2022-06-06T16:10:15.024  │43102                    │cpu11                    │ 16                       │ cpu-opteron             │
│2022-06-06T16:12:45.392  │43104                    │cpu11                    │ 4                        │ cpu-opteron             │
│2022-06-06T16:14:46.567  │43105                    │cpu11                    │ 4                        │ cpu-opteron             │
│2022-06-06T17:41:26.617  │43110                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-06T17:42:17.669  │43111                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-06T17:44:41.971  │43113                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-06T17:45:48.067  │43114                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-06T19:00:39.392  │43116                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-06T19:01:52.477  │43117                    │cpu11                    │ 32                       │ cpu-opteron             │
│2022-06-06T19:02:56.693  │43118                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-06T19:09:51.391  │43119                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-06T19:11:09.504  │43120                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-06T19:11:34.538  │43121                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-06T19:12:11.591  │43122                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-06T19:14:14.867  │43123                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-06T19:23:00.837  │43124                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-07T01:27:13.939  │43129                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-07T01:29:18.193  │43131                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-07T01:31:12.359  │43132                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-07T01:37:20.101  │43135                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T01:38:51.277  │43136                    │cpu11                    │ 32                       │ cpu-opteron             │
│2022-06-07T01:40:09.390  │43137                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-07T09:39:43.314  │43140                    │cpu04                    │ 64                       │ cpu-opteron             │
│2022-06-07T09:42:48.700  │43145                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-07T09:52:51.742  │43150                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-07T12:49:03.539  │43175                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T12:50:36.677  │43176                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T12:52:00.798  │43177                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T12:53:56.082  │43178                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T12:57:25.431  │43179                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T13:00:08.705  │43180                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T13:02:37.028  │43185                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T14:02:47.803  │43188                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T14:24:28.206  │43192                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:24:58.236  │43193                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:25:22.272  │43194                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:25:59.325  │43195                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:27:25.570  │43196                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:27:39.630  │43197                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:30:25.876  │43198                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:35:29.443  │43199                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:35:57.481  │43200                    │cpu11                    │ 32                       │ cpu-opteron             │
│2022-06-07T14:38:05.772  │43201                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-07T16:03:05.262  │43205                    │cpu11                    │ 32                       │ cpu-opteron             │
│2022-06-07T16:50:17.470  │43209                    │cpu03                    │ 64                       │ cpu-opteron             │
│2022-06-07T20:57:25.510  │43212                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T21:08:22.762  │43213                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T21:36:41.893  │43214                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-07T23:30:51.807  │43217                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-08T00:04:14.097  │43219                    │cpu01                    │ 12                       │ cpu-opteron             │
│2022-06-08T00:11:35.824  │43220                    │cpu01                    │ 12                       │ cpu-opteron             │
│2022-06-08T00:30:27.933  │43221                    │cpu04                    │ 64                       │ cpu-opteron             │
│2022-06-08T01:39:52.365  │43223                    │cpu01                    │ 12                       │ cpu-opteron             │
│2022-06-08T01:59:40.465  │43225                    │cpu01                    │ 12                       │ cpu-opteron             │
│2022-06-08T10:22:54.297  │43231                    │cpu05                    │ 64                       │ cpu-opteron             │
│2022-06-08T10:29:05.921  │43232                    │cpu07                    │ 64                       │ cpu-opteron             │
│2022-06-08T10:41:02.166  │43235                    │cpu08                    │ 64                       │ cpu-opteron             │
│2022-06-08T10:46:13.767  │43236                    │cpu09                    │ 64                       │ cpu-opteron             │
│2022-06-08T13:02:06.991  │43240                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-08T13:12:09.159  │43244                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-08T13:59:51.652  │43245                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-08T14:02:01.807  │43246                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-08T17:00:14.487  │43250                    │cpu03                    │ 64                       │ cpu-opteron             │
│2022-06-08T17:27:44.571  │43251                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-08T17:28:00.581  │43252                    │cpu11                    │ 16                       │ cpu-opteron             │
│2022-06-08T19:45:06.986  │43253                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-09T00:33:20.246  │43257                    │cpu01                    │ 8                        │ cpu-opteron             │
│2022-06-09T00:52:55.394  │43259                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-09T00:53:13.421  │43260                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-09T10:26:22.434  │43263                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-09T11:09:01.336  │43264                    │cpu04                    │ 64                       │ cpu-opteron             │
│2022-06-09T12:08:00.086  │43272                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T12:09:46.234  │43273                    │cpu07                    │ 64                       │ cpu-opteron             │
│2022-06-09T12:57:25.611  │43276                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-09T13:28:48.831  │43278                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T13:32:58.366  │43281                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T13:33:16.393  │43282                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T13:35:21.573  │43283                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T13:39:32.038  │43284                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-09T13:47:56.047  │43288                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T13:48:26.090  │43289                    │cpu11                    │ 32                       │ cpu-opteron             │
│2022-06-09T13:50:08.239  │43290                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-09T14:29:43.150  │43274                    │cpu05                    │ 32                       │ cpu-opteron             │
│2022-06-09T15:40:17.861  │43295                    │cpu01                    │ 16                       │ cpu-opteron             │
